file_id,hour,minute,second
18-51-36,18,51,36
18-51-37-1,18,51,37
18-51-37-2,18,51,37
18-51-42-1,18,51,42
18-51-42-2,18,51,42
18-51-45,18,51,45
18-52-00,18,52,00
18-52-03,18,52,03
18-52-11-1,18,52,11
18-52-11-2,18,52,11
18-52-15,18,52,15
18-52-21-1,18,52,21
18-52-21-2,18,52,21
18-52-26,18,52,26
18-52-31,18,52,31
18-52-42-1,18,52,42
18-52-42-2,18,52,42
18-52-44,18,52,44
18-52-51,18,52,51
18-52-54-1,18,52,54
18-52-54-2,18,52,54
18-52-54-3,18,52,54
18-53-00,18,53,00
18-53-11,18,53,11
18-53-14,18,53,14
18-53-16-1,18,53,16
18-53-16-2,18,53,16
18-53-19-1,18,53,19
18-53-19-2,18,53,19
18-53-20-1,18,53,20
18-53-20-2,18,53,20
18-53-28-1,18,53,28
18-53-28-2,18,53,28
18-53-30-1,18,53,30
18-53-30-2,18,53,30
18-53-32,18,53,32
18-53-35-1,18,53,35
18-53-35-2,18,53,35
18-53-38,18,53,38
18-53-39,18,53,39
18-53-43-1,18,53,43
18-53-43-2,18,53,43
18-53-45,18,53,45
18-53-47-1,18,53,47
18-53-47-2,18,53,47
18-53-49-1,18,53,49
18-53-49-2,18,53,49
18-53-51,18,53,51
18-53-54-1,18,53,54
18-53-54-2,18,53,54
18-53-56-1,18,53,56
18-53-56-2,18,53,56
18-53-58,18,53,58
18-54-04,18,54,04
18-54-06-1,18,54,06
18-54-06-2,18,54,06
18-54-06-3,18,54,06
18-54-07,18,54,07
18-54-10,18,54,10
18-54-13,18,54,13
18-54-18-1,18,54,18
18-54-18-2,18,54,18
18-54-20-1,18,54,20
18-54-20-2,18,54,20
18-54-24,18,54,24
18-54-41-1,18,54,41
18-54-41-2,18,54,41
18-54-53,18,54,53
18-55-07,18,55,07
18-55-16-1,18,55,16
18-55-16-2,18,55,16
18-55-21-1,18,55,21
18-55-21-2,18,55,21
18-55-22,18,55,22
18-55-25,18,55,25
18-55-33,18,55,33
18-55-36-1,18,55,36
18-55-36-2,18,55,36
18-55-38-1,18,55,38
18-55-38-2,18,55,38
18-55-40-1,18,55,40
18-55-40-2,18,55,40
18-55-42-1,18,55,42
18-55-42-2,18,55,42
18-55-42-3,18,55,42
18-55-48-1,18,55,48
18-55-48-2,18,55,48
18-55-49,18,55,49
18-55-52,18,55,52
18-55-53,18,55,53
18-55-55,18,55,55
18-55-58,18,55,58
18-55-59,18,55,59
18-56-00,18,56,00
18-56-04-1,18,56,04
18-56-04-2,18,56,04
18-56-06-1,18,56,06
18-56-06-2,18,56,06
18-56-06-3,18,56,06
18-56-14,18,56,14
18-56-15,18,56,15
18-56-17,18,56,17
18-56-18-1,18,56,18
18-56-18-2,18,56,18
18-56-19,18,56,19
18-56-20-1,18,56,20
18-56-20-2,18,56,20
18-56-23,18,56,23
18-56-28,18,56,28
18-56-37,18,56,37
18-56-39-1,18,56,39
18-56-39-2,18,56,39
18-56-41,18,56,41
18-56-44,18,56,44
18-56-49-1,18,56,49
18-56-49-2,18,56,49
18-56-51-1,18,56,51
18-56-51-2,18,56,51
18-56-51-3,18,56,51
18-56-53,18,56,53
18-57-02,18,57,02
18-57-06-1,18,57,06
18-57-06-2,18,57,06
18-57-08-1,18,57,08
18-57-08-2,18,57,08
18-57-10,18,57,10
18-57-12,18,57,12
18-57-15-1,18,57,15
18-57-15-2,18,57,15
18-57-18,18,57,18
18-57-39,18,57,39
18-57-42-1,18,57,42
18-57-42-2,18,57,42
18-57-44-1,18,57,44
18-57-44-2,18,57,44
18-57-45,18,57,45
18-57-47,18,57,47
18-57-53-1,18,57,53
18-57-53-2,18,57,53
18-57-53-3,18,57,53
18-57-59,18,57,59
18-58-01,18,58,01
18-58-05-1,18,58,05
18-58-05-2,18,58,05
18-58-10-1,18,58,10
18-58-10-2,18,58,10
18-58-13-1,18,58,13
18-58-13-2,18,58,13
18-58-16-1,18,58,16
18-58-16-2,18,58,16
18-58-29,18,58,29
18-58-30,18,58,30
18-58-32-1,18,58,32
18-58-32-2,18,58,32
18-58-33,18,58,33
18-58-34-1,18,58,34
18-58-34-2,18,58,34
18-58-38-1,18,58,38
18-58-38-2,18,58,38
18-58-38-3,18,58,38
18-58-41-1,18,58,41
18-58-41-2,18,58,41
18-58-41-3,18,58,41
18-58-42,18,58,42
18-58-43,18,58,43
18-58-45-1,18,58,45
18-58-45-2,18,58,45
18-58-46,18,58,46
18-58-47,18,58,47
18-58-48-1,18,58,48
18-58-48-2,18,58,48
18-58-49-1,18,58,49
18-58-49-2,18,58,49
18-58-50,18,58,50
18-58-51-1,18,58,51
18-58-51-2,18,58,51
18-58-52,18,58,52
18-58-53-1,18,58,53
18-58-53-2,18,58,53
18-58-53-3,18,58,53
18-58-53-4,18,58,53
18-58-55,18,58,55
18-58-57,18,58,57
18-58-59,18,58,59
18-59-05,18,59,05
18-59-06-1,18,59,06
18-59-06-2,18,59,06
18-59-07,18,59,07
18-59-08,18,59,08
18-59-13-1,18,59,13
18-59-13-2,18,59,13
18-59-15-1,18,59,15
18-59-15-2,18,59,15
18-59-15-3,18,59,15
18-59-17,18,59,17
18-59-28,18,59,28
18-59-36,18,59,36
18-59-38,18,59,38
18-59-40,18,59,40
18-59-45,18,59,45
18-59-48,18,59,48
18-59-49,18,59,49
18-59-52,18,59,52
18-59-54,18,59,54
18-59-56,18,59,56
